Timestamp,Data1,Data2,Data3,,0,-991,0
35:25.6,86.25,-33.075,-993.5309,,0.2,-844,147
35:25.7,86.3063,-33.1688,-993.5007,,0.4,-759,232
35:25.7,86.2875,-33.1688,-993.4403,,0.6,-665,326
35:25.7,86.3812,-33.3938,-993.2285,,0.8,-558,433
35:25.8,86.3625,-33.4688,-993.3192,,1,-435,556
35:25.8,86.3625,-33.4313,-993.3495,,1.2,-322,669
35:25.8,86.4375,-33.4688,-993.2587,,1.4,-286,705
35:25.8,86.6063,-33.4125,-993.289,,1.6,-180,811
35:25.8,86.55,-33.4125,-993.3192,,1.8,-60,931
35:25.9,86.5312,-33.3375,-993.3192,,2,55,1046
35:25.9,86.475,-33.2813,-993.3797,,2.2,152,1143
35:25.9,86.4563,-33.0938,-993.531,,2.4,238,1229
35:26.0,86.4375,-33.0375,-993.3495,,,,
35:26.0,86.5125,-33.0563,-993.168,,,,
35:26.0,86.3813,-33.0188,-993.3798,,,,
35:26.0,86.2687,-33.0187,-993.41,,,,
35:26.1,86.175,-33,-993.41,,,,
35:26.1,86.2688,-33.0188,-993.3797,,,,
35:26.1,86.25,-33.1125,-993.4705,,,,
35:26.2,86.2125,-33.0938,-993.4099,,,,
35:26.2,86.1938,-33.0938,-993.5914,,,,
35:26.2,86.1375,-33.0562,-993.5612,,,,
35:26.3,86.3438,-33.0375,-993.41,,,,
35:26.3,86.3063,-33.0188,-993.41,,,,
35:26.3,86.475,-32.925,-993.2285,,,,
35:26.4,86.4188,-32.8312,-993.1982,,,,
35:26.4,86.4375,-32.7562,-993.1982,,,,
35:26.4,86.4,-32.7375,-993.2587,,,,
35:26.4,86.3813,-32.7,-992.9865,,,,
35:26.4,86.4188,-32.8313,-993.1982,,,,
35:26.5,86.3625,-32.8125,-993.2889,,,,
35:26.5,86.4563,-32.9063,-993.2285,,,,
35:26.5,86.4563,-32.8125,-993.2889,,,,
35:26.5,86.4188,-32.7938,-993.3192,,,,
35:26.6,86.4188,-32.9062,-993.2285,,,,
35:26.6,86.4938,-32.9625,-993.0773,,,,
35:26.6,86.4375,-32.8688,-993.1982,,,,
35:26.6,86.4,-32.7188,-992.9865,,,,
35:26.7,86.3813,-32.775,-992.9562,,,,
35:26.7,86.3625,-32.7563,-993.047,,,,
35:26.7,86.3625,-32.8875,-993.1378,,,,
35:26.7,86.4,-32.9062,-993.168,,,,
35:26.8,86.3625,-32.7375,-993.1377,,,,
35:26.8,86.3813,-32.775,-993.1377,,,,
35:26.8,86.3438,-32.7938,-993.1075,,,,
35:26.8,86.2688,-32.9813,-993.168,,,,
35:26.9,86.2313,-33,-993.168,,,,
35:26.9,86.3438,-33.0188,-993.0773,,,,
35:26.9,86.325,-33.0563,-993.0772,,,,
35:26.9,86.3438,-33.1313,-993.0469,,,,
35:27.0,86.4,-33.3375,-993.1377,,,,
35:27.0,86.325,-33.225,-993.1377,,,,
35:27.0,86.3812,-33.2438,-993.1377,,,,
35:27.0,86.4188,-33.0563,-993.047,,,,
35:27.1,86.4188,-32.8688,-993.0168,,,,
35:27.1,86.1937,-32.8688,-993.2285,,,,
35:27.1,86.1937,-32.8125,-993.2285,,,,
35:27.1,86.1938,-32.85,-993.3797,,,,
35:27.2,86.175,-32.775,-993.4402,,,,
35:27.2,86.1375,-32.8875,-993.6519,,,,
35:27.2,86.1188,-32.8875,-993.7427,,,,
35:27.3,86.0438,-32.925,-993.9243,,,,
35:27.3,85.9125,-33.0938,-993.7731,,,,
35:27.4,86.0438,-33.1313,-993.7729,,,,
35:27.4,85.9687,-33.0563,-993.652,,,,
35:27.4,85.9312,-32.925,-993.4705,,,,
35:27.4,86.025,-32.8313,-993.1982,,,,
35:27.4,86.0813,-32.775,-993.1075,,,,
35:27.5,86.175,-32.8312,-992.9865,,,,
35:27.5,86.2688,-32.8125,-992.926,,,,
35:27.5,86.4375,-32.8313,-993.0771,,,,
35:27.6,86.4,-32.7,-992.9865,,,,
35:27.6,86.475,-32.775,-993.047,,,,
35:27.6,86.4563,-32.8875,-993.0471,,,,
35:27.6,86.325,-32.8875,-993.1075,,,,
35:27.7,86.325,-32.85,-992.9563,,,,
35:27.7,86.2875,-32.7375,-993.0773,,,,
35:27.7,86.2125,-32.7188,-993.047,,,,
35:27.7,86.2688,-32.7375,-992.926,,,,
35:27.8,86.25,-32.7375,-992.8655,,,,
35:27.8,86.25,-32.6438,-992.926,,,,
35:27.8,86.175,-32.5688,-993.2285,,,,
35:27.8,86.325,-32.6063,-993.2285,,,,
35:27.9,86.3063,-32.5875,-993.2889,,,,
35:27.9,86.3438,-32.6438,-993.2587,,,,
35:27.9,86.4938,-32.7375,-993.2285,,,,
35:27.9,86.4188,-32.6438,-993.2285,,,,
35:28.0,86.4375,-32.5688,-993.2285,,,,
35:28.0,86.4938,-32.6625,-993.3495,,,,
35:28.0,86.6625,-32.7375,-993.1075,,,,
35:28.0,86.6062,-32.7375,-993.0773,,,,
35:28.1,86.7188,-32.6625,-993.168,,,,
35:28.1,86.6625,-32.6813,-993.1377,,,,
35:28.1,86.6063,-32.5125,-993.1377,,,,
35:28.1,86.55,-32.625,-993.1075,,,,
35:28.2,86.5688,-32.775,-993.1075,,,,
35:28.2,86.625,-32.8125,-992.8958,,,,
35:28.2,86.5312,-32.775,-992.805,,,,
35:28.2,86.475,-32.8312,-992.805,,,,
35:28.3,86.3625,-32.925,-992.7445,,,,
35:28.3,86.4188,-32.9063,-992.7142,,,,
35:28.3,86.4,-32.9813,-992.684,,,,
35:28.3,86.55,-32.925,-992.7445,,,,
35:28.4,86.475,-32.775,-992.5933,,,,
35:28.4,86.325,-32.7938,-992.563,,,,
35:28.4,86.3063,-32.7938,-992.6537,,,,
35:28.5,86.4563,-32.7188,-992.8957,,,,
35:28.5,86.475,-32.7938,-992.8352,,,,
35:28.5,86.4,-32.8313,-992.926,,,,
35:28.5,86.3438,-32.775,-993.0167,,,,
35:28.6,86.2313,-32.8688,-992.9562,,,,
35:28.6,86.25,-32.9813,-993.047,,,,
35:28.6,86.2313,-32.9063,-993.1075,,,,
35:28.6,86.2688,-33,-992.9865,,,,
35:28.7,86.1375,-32.9813,-992.8655,,,,
35:28.7,86.0625,-32.925,-992.7446,,,,
35:28.8,86.0437,-32.9062,-992.5328,,,,
35:28.8,86.0437,-33.075,-992.4722,,,,
35:28.8,86.1375,-33.0187,-992.6235,,,,
35:28.8,86.1937,-33.0375,-992.6235,,,,
35:28.8,86.2688,-33.0187,-992.7445,,,,
35:28.9,86.175,-32.9813,-992.7445,,,,
35:28.9,86.1188,-33.0375,-992.5933,,,,
35:28.9,86.25,-33.0563,-992.7142,,,,
35:28.9,86.2875,-33.15,-992.805,,,,
35:29.0,86.3062,-33.15,-992.7748,,,,
35:29.0,86.25,-33.0563,-992.6235,,,,
35:29.0,86.25,-33,-992.7445,,,,
35:29.0,86.2312,-33.0375,-992.5933,,,,
35:29.1,86.2688,-32.9813,-992.6235,,,,
35:29.1,86.3812,-33.0187,-992.7445,,,,
35:29.1,86.2313,-33.0563,-992.7143,,,,
35:29.1,86.1938,-32.9063,-992.7446,,,,
35:29.2,86.25,-32.775,-992.7143,,,,
35:29.2,86.2688,-32.85,-992.7445,,,,
35:29.2,86.3063,-32.9437,-992.805,,,,
35:29.2,86.2313,-32.9062,-992.8353,,,,
35:29.3,86.2688,-32.9625,-992.8655,,,,
35:29.3,86.25,-32.7938,-992.8352,,,,
35:29.3,86.3813,-32.7563,-992.8654,,,,
35:29.4,86.4938,-32.6813,-992.7747,,,,
35:29.4,86.5125,-32.775,-992.7747,,,,
35:29.4,86.4563,-32.85,-992.7444,,,,
35:29.4,86.3625,-32.7938,-992.5932,,,,
35:29.5,86.4938,-32.8875,-992.563,,,,
35:29.5,86.4938,-32.9438,-992.5327,,,,
35:29.5,86.5687,-33.075,-992.442,,,,
35:29.5,86.4563,-33.0563,-992.3815,,,,
35:29.6,86.3438,-33.225,-992.2908,,,,
35:29.6,86.325,-33.2438,-992.1698,,,,
35:29.6,86.325,-33.15,-992.2606,,,,
35:29.6,86.3813,-33.1688,-992.3513,,,,
35:29.7,86.2688,-33.225,-992.2908,,,,
35:29.7,86.2125,-33.0187,-992.2908,,,,
35:29.7,86.0813,-32.9438,-992.442,,,,
35:29.8,86.175,-33.0188,-992.5025,,,,
35:29.8,86.2125,-33,-992.684,,,,
35:29.9,86.0813,-32.9063,-992.8353,,,,
35:29.9,86.1562,-32.7375,-992.8353,,,,
35:29.9,86.1375,-32.7,-992.7143,,,,
35:29.9,86.1938,-32.6063,-992.684,,,,
35:30.0,86.2125,-32.7375,-992.6235,,,,
35:30.0,86.2688,-32.6438,-992.6234,,,,
35:30.0,86.1,-32.7562,-992.6235,,,,
35:30.0,86.0813,-32.7562,-992.5024,,,,
35:30.0,86.175,-32.8125,-992.5327,,,,
35:30.1,86.1188,-32.9625,-992.5025,,,,
35:30.1,86.1188,-32.9062,-992.6538,,,,
35:30.1,86.1,-32.8875,-992.684,,,,
35:30.1,86.1937,-32.6813,-992.805,,,,
35:30.2,86.1375,-32.7938,-992.8352,,,,
35:30.2,86.25,-32.6063,-992.805,,,,
35:30.2,86.2125,-32.6063,-992.926,,,,
35:30.2,86.1375,-32.4938,-992.9865,,,,
35:30.3,86.0438,-32.4375,-993.047,,,,
35:30.3,85.9688,-32.55,-992.9865,,,,
35:30.3,85.9313,-32.5125,-993.2285,,,,
35:30.3,85.9312,-32.7188,-993.1075,,,,
35:30.4,85.95,-32.7188,-993.047,,,,
35:30.4,85.8562,-32.8125,-993.1075,,,,
35:30.4,85.8,-32.7938,-993.047,,,,
35:30.4,85.8938,-32.85,-992.9865,,,,
35:30.5,86.025,-32.9062,-992.9866,,,,
35:30.5,86.1375,-32.8688,-992.9866,,,,
35:30.5,86.2687,-32.8312,-992.7748,,,,
35:30.5,86.175,-32.8125,-992.926,,,,
35:30.6,86.175,-32.8125,-992.8049,,,,
35:30.6,86.25,-32.7,-992.7142,,,,
35:30.6,86.4,-32.7375,-992.7747,,,,
35:30.6,86.3812,-32.7938,-992.7747,,,,
35:30.7,86.25,-32.8125,-992.7748,,,,
35:30.7,86.0437,-32.775,-992.7143,,,,
35:30.7,85.9688,-32.8125,-992.7143,,,,
35:30.8,86.0062,-32.7938,-992.5327,,,,
35:30.8,85.9313,-32.8875,-992.6537,,,,
35:30.9,86.0063,-32.9062,-992.7747,,,,
35:30.9,85.9313,-32.775,-992.684,,,,
35:30.9,85.8938,-32.7188,-992.6537,,,,
35:30.9,85.95,-32.6063,-992.4117,,,,
35:31.0,86.0813,-32.625,-992.563,,,,
35:31.0,86.0813,-32.5687,-992.684,,,,
35:31.0,86.0625,-32.625,-992.7445,,,,
35:31.0,86.1188,-32.4938,-992.8353,,,,
35:31.1,86.1,-32.5875,-992.7142,,,,
35:31.1,86.1562,-32.5875,-992.6538,,,,
35:31.1,86.1,-32.55,-992.6537,,,,
35:31.1,86.1938,-32.625,-992.563,,,,
35:31.2,86.3063,-32.6063,-992.442,,,,
35:31.2,86.3063,-32.5875,-992.442,,,,
35:31.2,86.3813,-32.5125,-992.5327,,,,
35:31.2,86.3625,-32.55,-992.3815,,,,
35:31.3,86.3813,-32.4,-992.5024,,,,
35:31.3,86.3625,-32.4562,-992.684,,,,
35:31.3,86.4188,-32.5875,-992.6235,,,,
35:31.3,86.3813,-32.5875,-992.8655,,,,
35:31.4,86.3438,-32.55,-992.8353,,,,
35:31.4,86.3438,-32.5875,-992.8353,,,,
35:31.4,86.3625,-32.6063,-992.684,,,,
35:31.4,86.3625,-32.5687,-992.6537,,,,
35:31.4,86.3813,-32.5687,-992.7445,,,,
35:31.5,86.3813,-32.6437,-992.6538,,,,
35:31.5,86.3625,-32.55,-992.684,,,,
35:31.5,86.3625,-32.5312,-992.8353,,,,
35:31.5,86.325,-32.6063,-992.7445,,,,
35:31.6,86.325,-32.7375,-992.6537,,,,
35:31.6,86.1938,-32.7563,-992.9562,,,,
35:31.6,86.2312,-32.775,-993.0167,,,,
35:31.7,86.1188,-32.8125,-992.9562,,,,
35:31.7,86.1563,-32.6813,-993.0167,,,,
35:31.7,86.175,-32.7188,-993.1982,,,,
35:31.7,86.1938,-32.7,-993.168,,,,
35:31.8,86.175,-32.5688,-993.289,,,,
35:31.8,86.1188,-32.4375,-993.1982,,,,
35:31.8,86.1563,-32.3812,-993.0771,,,,
35:31.8,86.2688,-32.4188,-992.8655,,,,
35:31.9,86.2313,-32.4563,-992.805,,,,
35:31.9,86.3063,-32.5688,-992.805,,,,
35:31.9,86.2688,-32.6063,-992.7445,,,,
35:32.0,86.1937,-32.6438,-992.5933,,,,
35:32.0,86.1375,-32.7375,-992.6537,,,,
35:32.0,86.1,-32.85,-992.7747,,,,
35:32.0,86.1,-32.8125,-992.7142,,,,
35:32.0,85.95,-32.8125,-992.8655,,,,
35:32.1,86.0438,-32.775,-992.8655,,,,
35:32.1,85.9875,-32.8125,-992.6538,,,,
35:32.2,85.8938,-32.6625,-992.5933,,,,
35:32.2,85.9125,-32.5875,-992.6235,,,,
35:32.2,85.95,-32.6813,-992.5327,,,,
35:32.3,86.0813,-32.5875,-992.3513,,,,
35:32.3,86.1188,-32.6063,-992.2302,,,,
35:32.3,86.1375,-32.5687,-992.1697,,,,
35:32.3,86.25,-32.6063,-992.2907,,,,
35:32.3,86.1375,-32.5875,-992.5932,,,,
