timestamp,sensor_id,sensor_x,sensor_y,sensor_z,index_finger,thumb,sensor_status,,
34:20.1,1,-0.171,0,-0.322,613,610,VALID_DATA,,葡萄
51:38.1,1,-0.206,0.24,-0.164,605,579,VALID_DATA,,葡萄
52:42.7,1,-0.234,0.31,-0.15,600,574,VALID_DATA,,葡萄
53:42.6,1,0,0.386,-0.14,575,549,VALID_DATA,,葡萄
56:01.6,1,-0.186,0.294,-0.241,615,589,VALID_DATA,,葡萄
56:21.3,1,0,0.282,-0.161,625,599,VALID_DATA,,葡萄
56:36.5,1,-0.347,0,-0.211,610,584,VALID_DATA,,葡萄
56:50.3,1,-0.172,0,-0.235,610,584,VALID_DATA,,葡萄
57:51.1,1,-0.29,-0.137,-0.285,640,614,VALID_DATA,,葡萄
00:03.0,1,-0.497,0,-0.327,610,584,VALID_DATA,,葡萄
25:15.7,1,0,0.246,-0.136,637,612,VALID_DATA,,葡萄
25:33.2,1,0,0.562,-0.146,627,602,VALID_DATA,,葡萄
25:53.0,1,-0.015,0.406,-0.278,592,567,VALID_DATA,,葡萄
26:41.4,1,-0.205,0.299,-0.239,622,597,VALID_DATA,,葡萄
27:16.4,1,0,0.238,-0.235,637,612,VALID_DATA,,葡萄
27:34.9,1,0.311,0,-0.457,622,597,VALID_DATA,,葡萄
27:49.2,1,0,0,-0.227,632,607,VALID_DATA,,葡萄
28:09.6,1,0.153,0.193,-0.261,622,597,VALID_DATA,,葡萄
30:27.1,1,-0.249,0.142,-0.338,617,592,VALID_DATA,,葡萄
30:34.9,1,0.222,0.202,-0.232,627,602,VALID_DATA,,葡萄
30:49.7,1,0.252,0.437,0,632,607,VALID_DATA,,葡萄
31:13.0,1,0,0.245,-0.179,642,617,VALID_DATA,,葡萄
31:27.7,1,-0.223,0,-0.255,622,597,VALID_DATA,,葡萄
31:38.1,1,0,0.162,-0.283,617,592,VALID_DATA,,葡萄
28:29.1,1,0,-0.181,-0.538,607,582,VALID_DATA,,葡萄
07:44.4,1,-0.15,-0.227,-0.249,687,662,VALID_DATA,,杨桃
08:00.1,1,0,0.674,1.028,697,672,VALID_DATA,,杨桃
08:27.6,1,-0.046,-0.243,-0.328,702,677,VALID_DATA,,杨桃
08:46.6,1,0,0.211,-0.25,717,692,VALID_DATA,,杨桃
09:24.4,1,0,0,-0.343,712,687,VALID_DATA,,杨桃
09:45.8,1,-0.018,0.234,-0.412,702,677,VALID_DATA,,杨桃
10:10.5,1,-0.169,0.472,-0.27,702,677,VALID_DATA,,杨桃
10:28.9,1,0,0.526,-0.233,717,692,VALID_DATA,,杨桃
10:49.3,1,-0.172,0.246,-0.251,712,687,VALID_DATA,,杨桃
11:03.1,1,-0.278,0.914,0.294,707,682,VALID_DATA,,杨桃
11:25.1,1,0,0.582,-0.188,662,637,VALID_DATA,,杨桃
11:35.8,1,-0.311,0.588,-0.253,667,642,VALID_DATA,,杨桃
11:53.8,1,-0.295,0.234,-0.367,662,637,VALID_DATA,,杨桃
12:31.0,1,0.172,0.257,-0.278,687,662,VALID_DATA,,杨桃
13:08.6,1,-0.244,0.139,-0.415,682,657,VALID_DATA,,杨桃
15:00.3,1,0,0.194,-0.348,722,697,VALID_DATA,,杨桃
17:16.2,1,0,0.461,0,717,692,VALID_DATA,,杨桃
17:21.1,1,0,0.217,-0.239,737,712,VALID_DATA,,杨桃
17:38.8,1,0.234,0.115,-0.292,712,687,VALID_DATA,,杨桃
17:48.4,1,0,0.128,-0.294,707,682,VALID_DATA,,杨桃
17:56.7,1,-0.208,-0.503,-0.428,682,657,VALID_DATA,,杨桃
18:04.8,1,0,0,-0.463,687,662,VALID_DATA,,杨桃
18:17.7,1,-0.517,-0.621,-0.232,677,652,VALID_DATA,,杨桃
19:33.0,1,-0.189,-1.086,-0.228,657,632,VALID_DATA,,杨桃
33:39.3,1,0.194,0.386,-0.33,667,642,VALID_DATA,,杨桃
36:52.8,1,-0.764,0.314,-0.319,742,717,VALID_DATA,,水蜜桃
37:46.4,1,-0.309,0.286,-0.178,732,707,VALID_DATA,,水蜜桃
40:09.7,1,-0.78,0.358,1.572,717,692,VALID_DATA,,水蜜桃
40:22.2,1,-0.162,0.464,2.119,712,687,VALID_DATA,,水蜜桃
40:31.8,1,-0.834,0.492,0.971,717,692,VALID_DATA,,水蜜桃
40:42.7,1,0,0.591,1.221,687,662,VALID_DATA,,水蜜桃
40:50.6,1,-0.532,0.49,0.485,722,697,VALID_DATA,,水蜜桃
41:21.6,1,-0.637,-1.14,-0.441,692,667,VALID_DATA,,水蜜桃
41:25.3,1,-1.169,-0.963,-0.579,682,657,VALID_DATA,,水蜜桃
41:39.1,1,-0.66,0.904,2.045,722,697,VALID_DATA,,水蜜桃
43:06.4,1,-0.891,0.421,0.278,677,652,VALID_DATA,,水蜜桃
43:19.0,1,-0.696,0.147,0.55,722,697,VALID_DATA,,水蜜桃
43:35.4,1,-1.469,-1.287,0.781,662,637,VALID_DATA,,水蜜桃
43:48.5,1,-0.179,0,1.248,712,687,VALID_DATA,,水蜜桃
44:08.0,1,-0.554,0,0.719,677,652,VALID_DATA,,水蜜桃
44:43.2,1,-0.526,0.254,1.224,732,707,VALID_DATA,,水蜜桃
44:57.3,1,-0.662,1.046,0.564,667,642,VALID_DATA,,水蜜桃
46:02.6,1,-0.686,0.696,2.368,722,697,VALID_DATA,,水蜜桃
46:11.7,1,0,0.35,2.065,722,697,VALID_DATA,,水蜜桃
46:19.3,1,-0.363,0.652,2.519,732,707,VALID_DATA,,水蜜桃
46:25.6,1,-0.283,0.658,2.101,732,707,VALID_DATA,,水蜜桃
46:31.9,1,0,0.49,3.014,737,712,VALID_DATA,,水蜜桃
46:39.0,1,-0.542,0.202,2.622,737,712,VALID_DATA,,水蜜桃
46:50.2,1,-0.623,0.679,2.089,732,707,VALID_DATA,,水蜜桃
46:58.1,1,0,0.659,2.308,742,717,VALID_DATA,,水蜜桃
47:04.6,1,-0.419,0.672,2.547,742,717,VALID_DATA,,水蜜桃
47:11.5,1,-0.519,0.759,2.725,737,712,VALID_DATA,,水蜜桃
47:18.2,1,-0.346,0.695,1.611,732,707,VALID_DATA,,水蜜桃
47:25.6,1,-1.003,0,0.658,727,702,VALID_DATA,,水蜜桃
47:32.3,1,-0.39,0.528,1.102,742,717,VALID_DATA,,水蜜桃
50:04.9,1,1.259,0.155,0.784,602,577,VALID_DATA,,哈密瓜
50:44.7,1,0.755,0.386,0.186,612,587,VALID_DATA,,哈密瓜
50:51.3,1,0.788,0.524,0.467,602,577,VALID_DATA,,哈密瓜
50:59.1,1,1.054,0.262,0.571,602,577,VALID_DATA,,哈密瓜
51:06.7,1,1.41,0,0.948,597,572,VALID_DATA,,哈密瓜
51:13.9,1,1.264,-0.176,0.943,592,567,VALID_DATA,,哈密瓜
51:23.2,1,1.414,-0.259,0.613,597,572,VALID_DATA,,哈密瓜
51:32.0,1,1.453,0,0.519,587,562,VALID_DATA,,哈密瓜
51:44.1,1,1.417,-0.303,1.476,592,567,VALID_DATA,,哈密瓜
52:28.8,1,1.274,-0.581,0.2,597,572,VALID_DATA,,哈密瓜
52:39.4,1,1.295,-0.271,0.583,602,577,VALID_DATA,,哈密瓜
52:46.9,1,1.188,-0.243,0.18,612,587,VALID_DATA,,哈密瓜
52:55.2,1,1.338,-0.314,1.024,592,567,VALID_DATA,,哈密瓜
53:13.7,1,1.418,-0.417,0.68,597,572,VALID_DATA,,哈密瓜
53:24.4,1,1.392,-0.261,0.812,597,572,VALID_DATA,,哈密瓜
53:36.3,1,1.078,0,0.189,602,577,VALID_DATA,,哈密瓜
53:44.4,1,1.264,-0.154,0.49,602,577,VALID_DATA,,哈密瓜
54:09.4,1,1.085,-0.23,0.681,602,577,VALID_DATA,,哈密瓜
54:18.7,1,0.92,0.113,0.271,602,577,VALID_DATA,,哈密瓜
54:25.9,1,1.096,0,0.694,607,582,VALID_DATA,,哈密瓜
54:33.9,1,0.888,0,0.253,582,557,VALID_DATA,,哈密瓜
54:42.8,1,0.976,0.459,0.706,592,567,VALID_DATA,,哈密瓜
54:50.1,1,0.968,0.374,0.863,592,567,VALID_DATA,,哈密瓜
56:14.7,1,1.539,0.302,1.055,587,562,VALID_DATA,,哈密瓜
56:22.8,1,1.132,0,1.344,587,562,VALID_DATA,,哈密瓜
56:30.0,1,1.078,0,1.741,587,562,VALID_DATA,,哈密瓜
58:46.5,1,0.406,0.644,0.502,652,627,VALID_DATA,,菠萝
58:57.1,1,0.424,0.429,0.639,647,622,VALID_DATA,,菠萝
59:13.5,1,0.553,0.456,0.537,642,617,VALID_DATA,,菠萝
59:48.9,1,0.486,0.409,0.411,642,617,VALID_DATA,,菠萝
59:57.6,1,0.637,1.109,0.331,637,612,VALID_DATA,,菠萝
00:35.8,1,0,0.776,0.179,627,602,VALID_DATA,,菠萝
00:46.7,1,0.234,0.51,0.579,637,612,VALID_DATA,,菠萝
00:57.6,1,0.658,0.298,0.62,637,612,VALID_DATA,,菠萝
01:13.1,1,0.037,0.44,0.689,637,612,VALID_DATA,,菠萝
01:20.2,1,0.717,0.331,0.882,632,607,VALID_DATA,,菠萝
01:33.1,1,0.548,0.643,0.593,627,602,VALID_DATA,,菠萝
01:40.9,1,0.781,0.281,0.812,632,607,VALID_DATA,,菠萝
01:51.3,1,0.688,0.27,0.3,637,612,VALID_DATA,,菠萝
02:40.5,1,0.802,0.462,0.667,597,572,VALID_DATA,,菠萝
02:59.7,1,0.752,0,0.151,577,552,VALID_DATA,,菠萝
03:13.8,1,0.839,0,0.726,557,532,VALID_DATA,,菠萝
03:27.0,1,0.938,0,0.67,562,537,VALID_DATA,,菠萝
04:35.3,1,1.038,0,0.586,597,572,VALID_DATA,,菠萝
04:38.9,1,1.292,-0.258,1.26,587,562,VALID_DATA,,菠萝
04:47.3,1,0.755,0.239,0.382,577,552,VALID_DATA,,菠萝
05:05.8,1,0.851,0,0.28,567,542,VALID_DATA,,菠萝
05:28.0,1,0.577,0.22,0.018,582,557,VALID_DATA,,菠萝
05:43.7,1,0.512,0.337,0.28,562,537,VALID_DATA,,菠萝
06:03.0,1,0.548,0.542,0.646,637,612,VALID_DATA,,菠萝
06:11.1,1,0.678,0.165,0.157,612,587,VALID_DATA,,菠萝
06:32.1,1,0.617,0.385,0.178,602,577,VALID_DATA,,菠萝
06:36.6,1,0.997,0,0.551,577,552,VALID_DATA,,菠萝
07:01.9,1,1.047,-0.148,1.124,627,602,VALID_DATA,,菠萝
07:37.3,1,0.284,0.294,0.303,677,652,VALID_DATA,,菠萝
07:44.5,1,0.27,0.25,0.691,677,652,VALID_DATA,,枣
07:53.2,1,0.56,0,0,612,587,VALID_DATA,,枣
08:11.5,1,0.406,0.37,0.265,687,662,VALID_DATA,,枣
09:35.0,1,0.305,0.684,0.626,677,652,VALID_DATA,,枣
09:41.3,1,0.421,0.283,0.498,677,652,VALID_DATA,,枣
09:50.5,1,0.378,0.423,0.753,677,652,VALID_DATA,,枣
